Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Bach Long Vy,2023,4,10,22.0,94.0,4.3,0.0
Bach Long Vy,2023,4,11,23.4,95.0,5.3,0.0
Bach Long Vy,2023,4,12,22.5,96.0,0.0,0.0
Bach Long Vy,2023,4,13,24.0,96.0,0.7,0.0
Bach Long Vy,2023,4,14,24.1,94.0,0.1,0.0
Bach Long Vy,2023,4,15,22.7,95.0,0.2,2.4
Bach Long Vy,2023,4,16,23.2,93.0,0.0,8.9
Bach Long Vy,2023,4,17,25.1,94.0,2.8,0.0
Bach Long Vy,2023,4,18,25.7,92.0,0.0,0.0
Bach Long Vy,2023,4,19,25.6,92.0,0.0,0.0
Bach Long Vy,2023,4,20,25.3,93.0,0.0,0.0
Bach Long Vy,2023,4,21,26.4,94.0,0.0,0.5
Bach Long Vy,2023,4,22,26.9,91.0,0.0,0.7
Bach Long Vy,2023,4,23,27.0,90.0,9.1,1.1
Bach Long Vy,2023,4,24,27.3,90.0,1.0,0.0
Bach Long Vy,2023,4,25,22.2,90.0,3.5,0.0
Bach Long Vy,2023,4,26,21.8,85.0,0.0,4.4
Bach Long Vy,2023,4,27,23.6,88.0,0.0,0.0
Bach Long Vy,2023,4,28,26.4,88.0,0.0,0.1
Bach Long Vy,2023,4,29,23.7,89.0,36.8,0.0
Bach Long Vy,2023,4,30,22.7,75.0,0.0,1.4
Bach Long Vy,2023,5,1,23.5,83.0,0.0,10.3
Bach Long Vy,2023,5,2,26.1,84.0,0.0,1.9
Bach Long Vy,2023,5,3,27.0,84.0,0.0,2.6
Bach Long Vy,2023,5,4,27.1,85.0,0.1,0.3
Bach Long Vy,2023,5,5,27.2,86.0,0.0,3.6
Bach Long Vy,2023,5,6,27.7,87.0,0.0,7.0
Bach Long Vy,2023,5,7,28.5,84.0,0.0,0.0
Bach Long Vy,2023,5,8,24.0,88.0,8.1,0.4
Bach Long Vy,2023,5,9,25.0,89.0,2.4,0.0
Bach Long Vy,2023,5,10,26.9,89.0,13.1,0.1
Bach Long Vy,2023,5,11,26.7,90.0,17.0,0.5
Bach Long Vy,2023,5,12,22.9,90.0,8.5,0.0
Bach Long Vy,2023,5,13,22.6,94.0,3.6,0.0
Bach Long Vy,2023,5,14,23.4,89.0,0.0,1.9
Bach Long Vy,2023,5,15,25.1,83.0,0.0,6.9
Bach Long Vy,2023,5,16,27.1,86.0,0.0,7.9
Bach Long Vy,2023,5,17,27.6,86.0,0.0,11.3
Bach Long Vy,2023,5,18,28.1,82.0,0.0,10.9
Bach Long Vy,2023,5,19,28.0,84.0,0.0,4.1
Bach Long Vy,2023,5,20,28.4,84.0,0.0,9.1
Bach Long Vy,2023,5,21,28.4,86.0,0.0,4.9
Bach Long Vy,2023,5,22,28.8,84.0,0.0,6.6
Bach Long Vy,2023,5,23,28.4,84.0,0.0,1.2
Bach Long Vy,2023,5,24,28.0,85.0,0.3,0.2
Bach Long Vy,2023,5,25,28.8,86.0,22.2,1.9
Bach Long Vy,2023,5,26,29.3,84.0,10.3,5.2
Bach Long Vy,2023,5,27,29.4,82.0,40.0,3.9
Bach Long Vy,2023,5,28,29.3,80.0,1.4,1.7
Bach Long Vy,2023,5,29,29.6,83.0,0.0,12.0
Bach Long Vy,2023,5,30,29.2,81.0,0.0,11.0
Bach Long Vy,2023,5,31,29.4,80.0,0.0,11.2
Bach Long Vy,2023,6,1,30.6,82.0,0.0,10.0
Bach Long Vy,2023,6,2,30.9,82.0,0.0,9.8
Bach Long Vy,2023,6,3,31.0,81.0,0.0,9.7
Bach Long Vy,2023,6,4,30.6,79.0,0.0,9.2
Bach Long Vy,2023,6,5,29.7,81.0,0.0,3.9
Bach Long Vy,2023,6,6,29.8,80.0,5.1,5.8
Bach Long Vy,2023,6,7,28.0,84.0,12.4,2.2
Bach Long Vy,2023,6,8,28.7,87.0,48.5,0.0
Bach Long Vy,2023,6,9,26.5,88.0,22.0,0.0
Bach Long Vy,2023,6,10,28.2,83.0,1.4,5.6
Bach Long Vy,2023,6,11,29.2,84.0,0.2,7.1
Bach Long Vy,2023,6,12,29.6,83.0,0.5,8.0
Bach Long Vy,2023,6,13,30.5,84.0,93.0,2.4
Bach Long Vy,2023,6,14,28.5,85.0,37.3,0.4
Bach Long Vy,2023,6,15,28.8,86.0,0.0,4.3
Bach Long Vy,2023,6,16,29.9,85.0,7.0,0.0
Bach Long Vy,2023,6,17,29.8,83.0,0.8,3.7
Bach Long Vy,2023,6,18,29.4,83.0,55.6,0.8
Bach Long Vy,2023,6,19,29.4,84.0,0.0,4.6
Bach Long Vy,2023,6,20,30.0,83.0,0.0,1.3
Bach Long Vy,2023,6,21,30.6,84.0,48.6,4.5
Bach Long Vy,2023,6,22,30.5,84.0,0.2,0.0
Bach Long Vy,2023,6,23,29.5,84.0,18.3,0.0
Bach Long Vy,2023,6,24,27.2,89.0,30.6,0.0
Bach Long Vy,2023,6,25,26.0,91.0,43.7,0.0
Bach Long Vy,2023,6,26,26.3,89.0,23.9,0.0
Bach Long Vy,2023,6,27,28.4,88.0,38.4,3.4
Bach Long Vy,2023,6,28,29.4,87.0,0.0,7.2
Bach Long Vy,2023,6,29,30.0,86.0,0.2,11.0
Bach Long Vy,2023,6,30,30.4,84.0,4.1,6.4
Bach Long Vy,2023,7,1,30.7,86.0,0.0,8.7
Bach Long Vy,2023,7,2,30.4,86.0,0.0,3.1
Bach Long Vy,2023,7,3,30.2,82.0,4.8,2.3
Bach Long Vy,2023,7,4,30.5,80.0,0.3,8.1
Bach Long Vy,2023,7,5,30.2,79.0,0.0,10.8
Bach Long Vy,2023,7,6,30.4,82.0,0.0,10.4
Bach Long Vy,2023,7,7,30.1,83.0,0.0,8.3
Bach Long Vy,2023,7,8,30.2,82.0,0.0,8.9
Bach Long Vy,2023,7,9,30.4,83.0,0.0,8.4
Bach Long Vy,2023,7,10,30.4,84.0,6.1,9.2
Bach Long Vy,2023,7,11,30.4,86.0,0.0,7.9
Bach Long Vy,2023,7,12,30.6,86.0,3.1,10.3
Bach Long Vy,2023,7,13,31.0,85.0,35.5,7.6
Bach Long Vy,2023,7,14,31.3,85.0,0.0,8.9
