Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Ha Long,2023,5,12,23.9,80,1.9,0
Ha Long,2023,5,13,22.6,85,0.5,0
Ha Long,2023,5,14,24.2,80,0.2,2
Ha Long,2023,5,15,26,81,0,9
Ha Long,2023,5,16,27.2,88,0,4.2
Ha Long,2023,5,17,30.1,74,0,9.1
Ha Long,2023,5,18,29.9,77,0,9.1
Ha Long,2023,5,19,29.6,78,0,4
Ha Long,2023,5,20,29.8,78,0,8.2
Ha Long,2023,5,21,29.9,82,0,6.1
Ha Long,2023,5,22,30,82,0,5.7
Ha Long,2023,5,23,29.9,78,0,1.7
Ha Long,2023,5,24,28.7,79,0,1.8
Ha Long,2023,5,25,28.2,85,45.6,3.1
Ha Long,2023,5,26,29.5,82,0,8.6
Ha Long,2023,5,27,28.9,85,4.9,6.1
Ha Long,2023,5,28,29,84,0.2,3.8
Ha Long,2023,5,29,29.9,77,0,8.9
Ha Long,2023,5,30,29.9,78,0,9.5
Ha Long,2023,5,31,30.2,78,0,9.8
Ha Long,2023,6,1,29.9,80,0,7.8
Ha Long,2023,6,2,31.2,82,0,8.6
Ha Long,2023,6,3,31.1,82,0,9.1
Ha Long,2023,6,4,31.3,76,0,9.7
Ha Long,2023,6,5,29.5,82,27.7,3.8
Ha Long,2023,6,6,28.7,84,5.5,3.9
Ha Long,2023,6,7,29.4,78,9.7,7.5
Ha Long,2023,6,8,28.6,86,49.3,0
Ha Long,2023,6,9,27,88,1.5,0.1
Ha Long,2023,6,10,29.4,82,1.7,4.3
Ha Long,2023,6,11,30.7,83,0,8
Ha Long,2023,6,12,29.9,82,0,6.6
Ha Long,2023,6,13,28.7,88,57.1,2.2
Ha Long,2023,6,14,27.6,88,0.1,0.3
Ha Long,2023,6,15,29.5,84,0.2,8.6
Ha Long,2023,6,16,29.8,86,0,0
Ha Long,2023,6,17,30.6,84,0,5.6
Ha Long,2023,6,18,29.2,88,25,1.8
Ha Long,2023,6,19,30.3,80,0,7.9
Ha Long,2023,6,20,30.7,84,0,7.6
Ha Long,2023,6,21,29.2,86,4.8,3.5
Ha Long,2023,6,22,30.5,85,0,0.5
Ha Long,2023,6,23,27.3,88,18.9,0.5
Ha Long,2023,6,24,25.9,95,77.3,0.3
Ha Long,2023,6,25,25.7,97,54.9,0
Ha Long,2023,6,26,25.8,94,92.3,0
Ha Long,2023,6,27,26.2,92,133.3,0
Ha Long,2023,6,28,28,88,4.5,8.1
Ha Long,2023,6,29,29.9,82,0,9.7
Ha Long,2023,6,30,30.5,85,0.1,8.2
Ha Long,2023,7,1,31.2,81,0,9.1
Ha Long,2023,7,2,31,82,0,4.5
Ha Long,2023,7,3,30.5,82,0,4
Ha Long,2023,7,4,31,77,0,9.5
Ha Long,2023,7,5,30.5,78,0,9.6
Ha Long,2023,7,6,31,79,0,9.8
Ha Long,2023,7,7,30.8,82,0,7.7
Ha Long,2023,7,8,30.8,82,0.1,6.1
Ha Long,2023,7,9,30.6,82,0,9.2
Ha Long,2023,7,10,30.2,84,4.9,9.4
Ha Long,2023,7,11,30.4,81,0,8.4
Ha Long,2023,7,12,31.2,79,0,9.1
Ha Long,2023,7,13,30.6,81,1.8,7.8
Ha Long,2023,7,14,31,82,12.9,8
Ha Long,2023,7,15,31.2,83,1.4,5.2
Ha Long,2023,7,16,31.1,79,0,5.1
Ha Long,2023,7,17,31,68,0,3.9
Ha Long,2023,7,18,26,89,21.6,0
Ha Long,2023,7,19,27.2,89,1.7,0.4
Ha Long,2023,7,20,27.2,92,29.8,0.7
Ha Long,2023,7,21,28.5,88,8.9,4.5
Ha Long,2023,7,22,29.9,84,0,8.3
Ha Long,2023,7,23,30.6,77,0,9.8
Ha Long,2023,7,24,30.2,78,0,9.5
Ha Long,2023,7,25,30.4,79,0,7
Ha Long,2023,7,26,30.8,78,0,8.7
Ha Long,2023,7,27,31,81,0,9.5
Ha Long,2023,7,28,32,80,0,8.1
Ha Long,2023,7,29,30.2,84,0,2.6
Ha Long,2023,7,30,28.9,92,79.6,1.1
Ha Long,2023,7,31,27.8,91,27.1,0.2
Ha Long,2023,8,1,26.8,91,25.2,1.7
Ha Long,2023,8,2,28.1,90,0.6,5.1
Ha Long,2023,8,3,27.5,92,70.9,0
Ha Long,2023,8,4,27,93,12,0
Ha Long,2023,8,5,27,95,13.9,0.5
Ha Long,2023,8,6,28.5,84,0,0.9
Ha Long,2023,8,7,28.1,85,0.4,2.5
Ha Long,2023,8,8,29.3,81,0,5.8
Ha Long,2023,8,9,30.1,80,0,9.3
Ha Long,2023,8,10,29.2,90,5.7,0.3
Ha Long,2023,8,11,27.1,93,12,0
Ha Long,2023,8,12,28.6,86,0,5.1
Ha Long,2023,8,13,28.9,87,0,6.4
Ha Long,2023,8,14,29.1,87,0,2.8
Ha Long,2023,8,15,28.3,88,1.2,1.5
Ha Long,2023,8,16,28.9,90,12.4,3.1
Ha Long,2023,8,17,29.8,87,0,8.3
Ha Long,2023,8,18,30.5,85,0,6.2
Ha Long,2023,8,19,28.7,90,16.1,0
Ha Long,2023,8,20,27,93,19.5,0
Ha Long,2023,8,21,28.7,85,0,8.8
Ha Long,2023,8,22,29.9,82,2,9.3
Ha Long,2023,8,23,29.4,86,3.4,5.6
Ha Long,2023,8,24,29,86,17.8,2.2
Ha Long,2023,8,25,27.9,88,29.5,1.6
Ha Long,2023,8,26,28,93,8.2,0
Ha Long,2023,8,27,29.2,86,0,0.4
Ha Long,2023,8,28,28.4,86,0,0
Ha Long,2023,8,29,27.9,75,0,1.3
Ha Long,2023,8,30,28.2,71,0,3.8
Ha Long,2023,8,31,29.5,66,0,7.9
Ha Long,2023,9,1,29.7,69,0,7.4
Ha Long,2023,9,2,30.9,64,0,6.7
Ha Long,2023,9,3,27.7,66,1.3,0
Ha Long,2023,9,4,26.8,82,0,2.1
Ha Long,2023,9,5,29.1,75,0.1,7.9
Ha Long,2023,9,6,29.8,76,0,4.9
Ha Long,2023,9,7,29.8,79,0.6,8.9
Ha Long,2023,9,8,29.4,81,4.7,7.2
Ha Long,2023,9,9,27.5,87,1.9,3.3
Ha Long,2023,9,10,27.6,87,23.3,5.9
Ha Long,2023,9,11,26.7,88,8.8,1.5
Ha Long,2023,9,12,26.4,93,14.8,0
Ha Long,2023,9,13,26.3,89,1.5,0
Ha Long,2023,9,14,25,89,18.9,0
Ha Long,2023,9,15,26.1,82,0,0.9
Ha Long,2023,9,16,27.1,84,1.1,0.9
Ha Long,2023,9,17,27.2,88,0,0.2
Ha Long,2023,9,18,27.3,90,12.6,2.5
Ha Long,2023,9,19,28.3,88,10.7,5.7
Ha Long,2023,9,20,28.6,88,41.9,7.8
Ha Long,2023,9,21,29.2,85,1.6,8.5
Ha Long,2023,9,22,29.4,84,0,7.9
Ha Long,2023,9,23,29.2,84,0.3,8
Ha Long,2023,9,24,28.3,82,0,3.2
Ha Long,2023,9,25,29.5,78,0,7.1
Ha Long,2023,9,26,26.9,90,38.4,0
Ha Long,2023,9,27,25.7,96,68.9,0
Ha Long,2023,9,28,25.8,95,27.1,1.1
Ha Long,2023,9,29,26.9,89,0.4,5
Ha Long,2023,9,30,28.1,87,0,9.2
Ha Long,2023,10,1,28.6,84,0,9
Ha Long,2023,10,2,28.7,82,0,8.4
Ha Long,2023,10,3,28.7,83,0,8.2
Ha Long,2023,10,4,29.4,82,0,9.1
Ha Long,2023,10,5,29.7,84,0,8.7
Ha Long,2023,10,6,29,83,0,8.5
Ha Long,2023,10,7,28.2,72,0,4.8
Ha Long,2023,10,8,26.8,64,0,8.4
Ha Long,2023,10,9,26.5,63,0,6.4
Ha Long,2023,10,10,25.4,69,0,2.1
Ha Long,2023,10,11,24.9,75,0,1.7
Ha Long,2023,10,12,24.1,84,0.7,0
