Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Ly Son,2023,5,7,29,94,0,10.7
Ly Son,2023,5,8,27.7,91,0,4.6
Ly Son,2023,5,9,27.5,91,0,6
Ly Son,2023,5,10,27.7,91,0,4
Ly Son,2023,5,11,28.4,88,4.7,9.2
Ly Son,2023,5,12,28.6,90,1.1,7.1
Ly Son,2023,5,13,27.3,90,8.5,3.7
Ly Son,2023,5,14,27.3,86,0,6.4
Ly Son,2023,5,15,28.5,84,0,10.1
Ly Son,2023,5,16,29.4,89,0,11.5
Ly Son,2023,5,17,29.2,86,0,11.4
Ly Son,2023,5,18,30.2,84,0,11.6
Ly Son,2023,5,19,30,86,0,11.2
Ly Son,2023,5,20,29.8,91,0,9.9
Ly Son,2023,5,21,29.7,89,0,11.6
Ly Son,2023,5,22,29.8,86,0,11.7
Ly Son,2023,5,23,30.3,84,0,11.5
Ly Son,2023,5,24,29.1,83,0,10.1
Ly Son,2023,5,25,29.6,76,0,11.7
Ly Son,2023,5,26,29.5,84,0,11.1
Ly Son,2023,5,27,30,80,0.9,11.7
Ly Son,2023,5,28,29.6,82,5.1,10.7
Ly Son,2023,5,29,29.3,83,0,10.3
Ly Son,2023,5,30,29.7,83,0,9.8
Ly Son,2023,5,31,29.8,82,0,11
Ly Son,2023,6,1,31.1,78,0,11.7
Ly Son,2023,6,2,30.5,74,0,11.7
Ly Son,2023,6,3,30.3,76,0,11.6
Ly Son,2023,6,4,30.6,75,0,9.8
Ly Son,2023,6,5,29.5,82,0.8,1.2
Ly Son,2023,6,6,28.4,86,21.9,0
Ly Son,2023,6,7,29.4,83,2.5,9.1
Ly Son,2023,6,8,29.8,80,0,10.1
Ly Son,2023,6,9,30.5,78,0,8.7
Ly Son,2023,6,10,29.8,82,0.2,9.4
Ly Son,2023,6,11,30.9,74,0,11.5
Ly Son,2023,6,12,31,79,0,10.4
Ly Son,2023,6,13,31,79,0,10.9
Ly Son,2023,6,14,31.4,80,0,10.9
Ly Son,2023,6,15,30.8,82,0,6.5
Ly Son,2023,6,16,29.7,85,0,10.4
Ly Son,2023,6,17,29.8,82,0,10.6
Ly Son,2023,6,18,30.2,81,0,11.6
Ly Son,2023,6,19,30.4,81,0,12
Ly Son,2023,6,20,30.4,84,0,11.9
Ly Son,2023,6,21,30.2,84,0,12
Ly Son,2023,6,22,30.2,81,0,12
Ly Son,2023,6,23,30.3,82,0,11.7
Ly Son,2023,6,24,29.9,86,0,11.3
Ly Son,2023,6,25,29.8,86,0,11.7
Ly Son,2023,6,26,29.8,87,0,10.2
Ly Son,2023,6,27,29.9,85,0,11.4
Ly Son,2023,6,28,30,82,0,12.1
Ly Son,2023,6,29,29.7,85,0,11.7
Ly Son,2023,6,30,30,81,0,11
Ly Son,2023,7,1,30.4,78,0,11.2
Ly Son,2023,7,2,30.3,80,0,7.3
Ly Son,2023,7,3,30.2,82,0,7.8
Ly Son,2023,7,4,29.7,85,0,11.7
Ly Son,2023,7,5,29.1,88,0,11.2
Ly Son,2023,7,6,29,86,0,11.9
Ly Son,2023,7,7,28.8,88,0,12.1
Ly Son,2023,7,8,28.5,90,0,12
Ly Son,2023,7,9,28.4,90,0,10.3
Ly Son,2023,7,10,28.1,88,0,11.9
Ly Son,2023,7,11,28.6,90,0,10.7
Ly Son,2023,7,12,28.9,88,0,11.6
Ly Son,2023,7,13,28.9,89,0,11.1
Ly Son,2023,7,14,29.4,85,9,10.1
Ly Son,2023,7,15,29.3,80,0,11.2
Ly Son,2023,7,16,30.1,76,0,4.3
Ly Son,2023,7,17,28.7,85,0,2.2
Ly Son,2023,7,18,29.4,86,0,5.5
Ly Son,2023,7,19,30.8,78,0,11.1
Ly Son,2023,7,20,30,79,0,10.8
Ly Son,2023,7,21,29.7,83,3.8,11.6
Ly Son,2023,7,22,29.1,85,22.5,6.3
Ly Son,2023,7,23,28.1,90,8.3,4.9
Ly Son,2023,7,24,29.4,81,0,11.2
Ly Son,2023,7,25,29.2,80,0,11.2
Ly Son,2023,7,26,29.3,81,0,11.5
Ly Son,2023,7,27,30.2,78,0,10.6
Ly Son,2023,7,28,30.7,75,0,9.7
Ly Son,2023,7,29,30.6,80,0,11.6
Ly Son,2023,7,30,30.6,82,0,11.3
Ly Son,2023,7,31,30.7,75,0,4
Ly Son,2023,8,1,30.7,77,0,1.2
Ly Son,2023,8,2,29.4,80,0.2,0
Ly Son,2023,8,3,30.5,78,0,3.9
Ly Son,2023,8,4,30.6,75,0,7.6
Ly Son,2023,8,5,31,75,0,10.9
Ly Son,2023,8,6,31.3,70,0,11.6
Ly Son,2023,8,7,30.8,75,0,10.6
Ly Son,2023,8,8,31,72,0,11.7
Ly Son,2023,8,9,31.1,75,0,11.7
Ly Son,2023,8,10,30.8,77,0,11.3
Ly Son,2023,8,11,30.7,80,0,10.9
Ly Son,2023,8,12,30.8,78,0,9.3
Ly Son,2023,8,13,30.7,78,0,10.5
Ly Son,2023,8,14,30.4,80,0,10.5
Ly Son,2023,8,15,30.3,80,0,11.4
Ly Son,2023,8,16,30.7,81,0,11.4
Ly Son,2023,8,17,30.9,77,0,11.5
Ly Son,2023,8,18,30.2,80,0,11.8
Ly Son,2023,8,19,30.7,80,0,11.4
Ly Son,2023,8,20,30.9,80,0,9
Ly Son,2023,8,21,30.3,73,0,8.2
Ly Son,2023,8,22,30.4,76,0,10.6
Ly Son,2023,8,23,29.9,79,8.5,10.7
Ly Son,2023,8,24,30.6,76,0,10.6
Ly Son,2023,8,25,30.5,81,1.4,11.3
Ly Son,2023,8,26,30.9,79,0,11.3
Ly Son,2023,8,27,31.5,76,0,10.9
Ly Son,2023,8,28,31.2,76,8.6,9.9
Ly Son,2023,8,29,29.1,85,16.7,6.1
Ly Son,2023,8,30,28.2,89,10.8,3
Ly Son,2023,8,31,28.6,83,0,1.2
Ly Son,2023,9,1,29.8,76,0,3.5
Ly Son,2023,9,2,30.3,75,0,7.4
Ly Son,2023,9,3,28.3,81,0.6,11.3
Ly Son,2023,9,4,29.6,80,0,8.2
Ly Son,2023,9,5,29.7,85,0,7.4
Ly Son,2023,9,6,28.9,89,2.9,0
Ly Son,2023,9,7,29.9,83,3.2,9.9
Ly Son,2023,9,8,29.5,88,0,9.6
Ly Son,2023,9,9,30.2,83,1.2,10.1
Ly Son,2023,9,10,30.4,81,0,8.3
Ly Son,2023,9,11,30.7,76,0,6.1
Ly Son,2023,9,12,30.7,79,0,7
Ly Son,2023,9,13,31,71,0.1,8.1
Ly Son,2023,9,14,30.3,78,48.7,4.5
Ly Son,2023,9,15,28.5,87,14,7.7
Ly Son,2023,9,16,28.4,88,0.2,5.7
Ly Son,2023,9,17,28.8,84,0.1,3.3
Ly Son,2023,9,18,29,86,0.4,7
Ly Son,2023,9,19,29.5,84,0,9.4
Ly Son,2023,9,20,29.9,82,0,10.1
Ly Son,2023,9,21,30.4,81,0.4,9.9
Ly Son,2023,9,22,30.2,78,0,10.8
Ly Son,2023,9,23,29,84,1,6
Ly Son,2023,9,24,26.1,94,177.7,0
Ly Son,2023,9,25,26.5,92,100.3,0
Ly Son,2023,9,26,29.6,78,0,9.9
Ly Son,2023,9,27,29.9,83,7.4,7.2
Ly Son,2023,9,28,28.4,86,0,7.2
Ly Son,2023,9,29,29.3,85,0,9.5
Ly Son,2023,9,30,29,87,4.8,8
Ly Son,2023,10,1,29.2,85,24.8,6.9
Ly Son,2023,10,2,28.3,89,2,5.4
Ly Son,2023,10,3,27.8,92,45,1.2
Ly Son,2023,10,4,28.8,89,0,9.9
Ly Son,2023,10,5,29.2,88,0,8.4
Ly Son,2023,10,6,28.9,86,0,6.9
Ly Son,2023,10,7,29.4,82,0,9
Ly Son,2023,10,8,28.7,83,0,8.8
Ly Son,2023,10,9,27.5,89,10.1,0
Ly Son,2023,10,10,27.2,89,34.1,0
Ly Son,2023,10,11,27.3,91,29.7,2.8
Ly Son,2023,10,12,26.5,92,46.9,0
Ly Son,2023,10,13,26.8,93,59.8,2.1
Ly Son,2023,10,14,26.3,93,147.6,2.5
Ly Son,2023,10,15,26.1,94,104.3,0
Ly Son,2023,10,16,26.5,93,66.9,0
Ly Son,2023,10,17,26.2,97,142.2,0
Ly Son,2023,10,18,26.7,86,12.5,5.1
Ly Son,2023,10,19,27.6,87,0,6.6
Ly Son,2023,10,20,28.6,85,0,9.4
Ly Son,2023,10,21,27.7,82,0,4.9
Ly Son,2023,10,22,27.3,82,0,8.2
Ly Son,2023,10,23,26.6,95,23.9,5
Ly Son,2023,10,24,27.2,90,0.2,9.7
Ly Son,2023,10,25,27.6,90,3.5,3.6
Ly Son,2023,10,26,27.9,89,0,8
Ly Son,2023,10,27,28.1,87,0,10.2
Ly Son,2023,10,28,28.1,87,0,9.2
Ly Son,2023,10,29,27.4,91,25.3,2.5
Ly Son,2023,10,30,25.7,95,38.5,0
Ly Son,2023,10,31,27.3,88,55.5,1.1
Ly Son,2023,11,1,27.4,88,11.6,1.5
Ly Son,2023,11,2,26,94,81.2,1
Ly Son,2023,11,3,27.2,91,6.8,6.4
Ly Son,2023,11,4,27.5,91,2,3.9
Ly Son,2023,11,5,28,89,8,6.6
Ly Son,2023,11,6,27.2,92,49.3,1.6
Ly Son,2023,11,7,26.9,93,41.6,0
Ly Son,2023,11,8,27.3,88,5.1,8.4
Ly Son,2023,11,9,27.9,88,0,8.4
Ly Son,2023,11,10,27.2,91,7.6,4.1
Ly Son,2023,11,11,28.4,87,0.2,9.6
Ly Son,2023,11,12,27.7,88,20.6,6.7
Ly Son,2023,11,13,28.3,86,34.1,2.4
Ly Son,2023,11,14,27.2,90,34.4,2.8
Ly Son,2023,11,15,27.9,86,8.3,8
Ly Son,2023,11,16,27.9,83,1.6,5.9
Ly Son,2023,11,17,26,79,0,5.1
Ly Son,2023,11,18,25.2,72,0.3,1.1
Ly Son,2023,11,19,25.8,73,0.9,2.5
Ly Son,2023,11,20,25.7,80,7.3,1.8
Ly Son,2023,11,21,26.3,74,0,8.9
Ly Son,2023,11,22,24.8,89,6.6,1.5
Ly Son,2023,11,23,27,79,0.4,7.9
Ly Son,2023,11,24,26.3,72,0,5.6
Ly Son,2023,11,25,25.2,88,35.1,0
Ly Son,2023,11,26,26.9,82,0.2,0.9
Ly Son,2023,11,27,26.1,73,0,9.6
Ly Son,2023,11,28,26,74,0,0.5
Ly Son,2023,11,29,26,91,26.4,3.1
Ly Son,2023,11,30,26.6,93,0,2.6
Ly Son,2023,12,1,27.3,87,0.2,9.4
Ly Son,2023,12,2,27.2,86,0,7.3
Ly Son,2023,12,3,26.9,89,1.4,0.9
Ly Son,2023,12,4,25.9,92,13.1,2.4
Ly Son,2023,12,5,26.6,85,0,6.3
Ly Son,2023,12,6,26.3,84,0,9.5
Ly Son,2023,12,7,25.9,84,0.7,1.5
Ly Son,2023,12,8,24.5,89,0.5,0.8
Ly Son,2023,12,9,24.9,89,0,6
Ly Son,2023,12,10,25.4,87,0,9.3
Ly Son,2023,12,11,26.1,89,0,10
Ly Son,2023,12,12,26.2,88,0,8.9
Ly Son,2023,12,13,26.6,86,0,6.6
Ly Son,2023,12,14,26.5,90,0,7.1
Ly Son,2023,12,15,26.9,89,0,9.9
Ly Son,2023,12,16,26.6,88,0,6.1
Ly Son,2023,12,17,26.7,86,3.6,8.8
Ly Son,2023,12,18,26.8,84,0,6.9
Ly Son,2023,12,19,26.6,84,0.9,9.9
Ly Son,2023,12,20,25.4,82,0,2.8
Ly Son,2023,12,21,24.2,80,0.6,0.6
Ly Son,2023,12,22,21.8,91,25.3,0
Ly Son,2023,12,23,20.7,96,35.8,0
Ly Son,2023,12,24,21.4,95,35.9,0
Ly Son,2023,12,25,22.6,78,4.2,0
Ly Son,2023,12,26,23.5,88,29.1,0
Ly Son,2023,12,27,23.1,96,51,0
Ly Son,2023,12,28,22.4,96,11.1,0
Ly Son,2023,12,29,23.6,96,12.5,0
Ly Son,2023,12,30,25.3,90,6,4.5
Ly Son,2023,12,31,25.1,90,1,5.1
Ly Son,2024,1,1,24.9,88,12.5,5.5
Ly Son,2024,1,2,25.6,89,0.6,4
Ly Son,2024,1,3,25.2,80,0,9.6
Ly Son,2024,1,4,24.9,74,0,9.6
Ly Son,2024,1,5,24.7,77,1.6,5
Ly Son,2024,1,6,24.9,81,0,1.3
Ly Son,2024,1,7,25.1,79,0,4.9
Ly Son,2024,1,8,24.9,81,0,3.3
Ly Son,2024,1,9,23.7,89,0,4.5
Ly Son,2024,1,10,25.5,83,0,7.8
Ly Son,2024,1,11,24.8,78,0.3,6.3
Ly Son,2024,1,12,24.6,80,0.5,7.7
Ly Son,2024,1,13,24.8,78,0,9.5
Ly Son,2024,1,14,24.5,79,2.5,8
Ly Son,2024,1,15,24.6,79,0,8.7
Ly Son,2024,1,16,24.6,78,0,5.7
Ly Son,2024,1,17,24.8,80,0,9.6
Ly Son,2024,1,18,24.9,80,0,9.7
Ly Son,2024,1,19,24.7,80,0,10.1
Ly Son,2024,1,20,24.5,76,0,9.1
Ly Son,2024,1,21,24.6,79,0.5,9.5
Ly Son,2024,1,22,25,80,0,9.8
Ly Son,2024,1,23,22.8,91,29.9,0.9
Ly Son,2024,1,24,21.4,95,34.1,0
Ly Son,2024,1,25,23.8,79,0.1,1.5
Ly Son,2024,1,26,23.6,83,1.6,3.1
Ly Son,2024,1,27,22.6,88,2.8,3.5
Ly Son,2024,1,28,22.2,91,14.9,2.2
Ly Son,2024,1,29,21.9,91,1.5,1.9
Ly Son,2024,1,30,22.9,88,0,8.6
Ly Son,2024,1,31,23.3,91,0,10.2
Ly Son,2024,2,1,24.4,91,0,10.2
Ly Son,2024,2,2,24.6,91,0,9.9
Ly Son,2024,2,3,24.8,90,0,10.2
Ly Son,2024,2,4,25.3,92,0,9.9
Ly Son,2024,2,5,25.3,93,0,9.6
Ly Son,2024,2,6,25.4,94,0,8.4
Ly Son,2024,2,7,25.5,92,0,7.8
Ly Son,2024,2,8,25.8,91,0,5.8
Ly Son,2024,2,9,23.3,91,0.6,0
Ly Son,2024,2,10,20.8,97,62,0
Ly Son,2024,2,11,20.9,89,9.5,0.2
Ly Son,2024,2,12,22.8,81,0.7,3.2
Ly Son,2024,2,13,22.3,92,4.4,1.2
Ly Son,2024,2,14,23.8,90,0,1.9
Ly Son,2024,2,15,24.5,88,0,6.3
Ly Son,2024,2,16,24.2,88,0,5.8
Ly Son,2024,2,17,23.7,88,0,10.2
Ly Son,2024,2,18,24.6,92,0,10.3
Ly Son,2024,2,19,25.1,94,0,9.9
Ly Son,2024,2,20,25.4,92,0,10.1
Ly Son,2024,2,21,25.6,93,0,10
Ly Son,2024,2,22,25.7,90,0,10.4
Ly Son,2024,2,23,25.9,93,0,8.1
Ly Son,2024,2,24,25.3,86,0,10.2
Ly Son,2024,2,25,24.8,88,0,8.5
Ly Son,2024,2,26,24.9,88,3.9,0.3
Ly Son,2024,2,27,25.3,91,0,6.4
Ly Son,2024,2,28,24.7,88,0,9.9
Ly Son,2024,2,29,25,90,0,10.2
Ly Son,2024,3,1,24.6,90,5.8,6
Ly Son,2024,3,2,22.1,95,17.4,0
Ly Son,2024,3,3,22,94,2,0.7
Ly Son,2024,3,4,24.5,90,0,10.3
Ly Son,2024,3,5,25.3,90,0,10.1
Ly Son,2024,3,6,25.2,94,0,5.6
Ly Son,2024,3,7,24.6,92,0,1.6
Ly Son,2024,3,8,24.3,93,0,1.7
Ly Son,2024,3,9,24.2,92,0,3.1
Ly Son,2024,3,10,25.3,90,0,8.7
Ly Son,2024,3,11,24.3,91,0,5.9
Ly Son,2024,3,12,23.8,87,0,6
Ly Son,2024,3,13,24.8,90,0,9.4
Ly Son,2024,3,14,25.5,92,0,10.1
Ly Son,2024,3,15,25.6,92,0,8.9
Ly Son,2024,3,16,25.7,90,0,6.5
Ly Son,2024,3,17,25.9,92,0,9.8
Ly Son,2024,3,18,25.9,92,0,10.1
Ly Son,2024,3,19,25.8,92,0,6.7
Ly Son,2024,3,20,25.7,88,17.1,5.3
Ly Son,2024,3,21,24,89,4,1.5
Ly Son,2024,3,22,25.3,88,0,10
Ly Son,2024,3,23,26.4,88,0,9.9
Ly Son,2024,3,24,26.2,94,0,10.2
Ly Son,2024,3,25,26.1,94,0,10.1
Ly Son,2024,3,26,26.5,92,0,10.6
Ly Son,2024,3,27,26.7,91,0,10
Ly Son,2024,3,28,26.7,90,0,9.4
Ly Son,2024,3,29,27.4,91,0,6.3
Ly Son,2024,3,30,27.5,92,0,8.8
Ly Son,2024,3,31,27.3,90,0,8.8
Ly Son,2024,4,1,27.1,92,0,8.1
Ly Son,2024,4,2,27,90,0,9.2
Ly Son,2024,4,3,26.9,91,0,9.3
Ly Son,2024,4,4,26.8,92,0,10.1
Ly Son,2024,4,5,26.5,88,0,8.9
Ly Son,2024,4,6,26.6,89,0,10.7
Ly Son,2024,4,7,27,92,0,9.3
Ly Son,2024,4,8,27.4,89,0,8.8
Ly Son,2024,4,9,27.2,91,0,5.4
Ly Son,2024,4,10,26.8,91,0,7.4
Ly Son,2024,4,11,27.5,88,0,9.2
Ly Son,2024,4,12,27.8,88,0,10.6
Ly Son,2024,4,13,27.6,92,0,11
Ly Son,2024,4,14,27.5,90,0,11.1
Ly Son,2024,4,15,27.4,91,0,11
Ly Son,2024,4,16,27.3,92,0,11.4
Ly Son,2024,4,17,27.5,90,0,9.6
Ly Son,2024,4,18,27.5,93,0,8.6
Ly Son,2024,4,19,27.5,91,0,10.1
Ly Son,2024,4,20,27.5,93,0,10.7
Ly Son,2024,4,21,27.3,90,0,9.9
Ly Son,2024,4,22,27.4,91,0,10.1
Ly Son,2024,4,23,27.4,91,0,9.2
Ly Son,2024,4,24,27.3,94,0,9
Ly Son,2024,4,25,27.4,92,0,7.7
Ly Son,2024,4,26,27.3,90,0,10.2
Ly Son,2024,4,27,27.3,91,0,9.2
Ly Son,2024,4,28,27.4,90,0,6.6
Ly Son,2024,4,29,27.2,92,0,9.1
Ly Son,2024,4,30,27.5,90,0,10.2
Ly Son,2024,5,1,27.4,92,0,9.3
Ly Son,2024,5,2,27.4,92,0,7.2
Ly Son,2024,5,3,27.4,92,0.4,8.7
Ly Son,2024,5,4,25.8,94,11.4,3.2
Ly Son,2024,5,5,27.5,90,0,8.1
Ly Son,2024,5,6,28.6,89,0,9.6
Ly Son,2024,5,7,28.7,88,0,10.3
Ly Son,2024,5,8,28.6,86,10.2,9.7
Ly Son,2024,5,9,28.7,82,0,11.3
Ly Son,2024,5,10,29,85,0,11.2
Ly Son,2024,5,11,28.8,88,0,10.8
Ly Son,2024,5,12,29.3,89,0,11.2
Ly Son,2024,5,13,29.7,86,0,10.1
Ly Son,2024,5,14,29.3,80,0,8.2
Ly Son,2024,5,15,29.6,85,1.5,11
Ly Son,2024,5,16,29.5,82,0,10.6
Ly Son,2024,5,17,29,86,0,8.8
Ly Son,2024,5,18,29.4,85,0,9.7
Ly Son,2024,5,19,30,82,0,8.3
Ly Son,2024,5,20,29.3,83,1.2,7.6
Ly Son,2024,5,21,28.6,86,22.6,3.6
Ly Son,2024,5,22,28.7,87,0.1,6.3
Ly Son,2024,5,23,29.6,85,4,8.1
Ly Son,2024,5,24,29.6,87,4.6,9.4
Ly Son,2024,5,25,29.8,81,2.9,10.4
Ly Son,2024,5,26,30.4,81,0,11.8
Ly Son,2024,5,27,31,82,0,11.8
Ly Son,2024,5,28,31.5,83,0,1.5
Ly Son,2024,5,29,31.2,81,0,1.3
Ly Son,2024,5,30,30.9,77,0,0.2
Ly Son,2024,5,31,30,85,0.1,0
Ly Son,2024,6,1,30.4,87,0,10.4
Ly Son,2024,6,2,30.3,84,0,11.7
Ly Son,2024,6,3,30.8,82,0,11.4
Ly Son,2024,6,4,30.7,82,0,11.4
Ly Son,2024,6,5,30.6,85,0,10.9
Ly Son,2024,6,6,31.1,80,0,11.3
Ly Son,2024,6,7,31.2,83,0,10.1
Ly Son,2024,6,8,30,80,0,7.6
Ly Son,2024,6,9,31.2,78,1.1,11.7
Ly Son,2024,6,10,30.3,81,0,11
Ly Son,2024,6,11,31.6,75,0,10.2
Ly Son,2024,6,12,31.8,76,0,11.7
Ly Son,2024,6,13,32,78,0,11.7
Ly Son,2024,6,14,31.9,79,0,11.7
Ly Son,2024,6,15,31.5,83,0,11.3
Ly Son,2024,6,16,31,77,0,10.1
Ly Son,2024,6,17,30.6,80,0,11.7
Ly Son,2024,6,18,31.1,80,0,10.8
Ly Son,2024,6,19,31.7,80,0,11
Ly Son,2024,6,20,31.1,80,0,11.5
Ly Son,2024,6,21,31.3,81,0,11.6
Ly Son,2024,6,22,30.1,78,0.2,9.8
Ly Son,2024,6,23,28.9,84,50,1.6
Ly Son,2024,6,24,29.7,82,0,4.5
Ly Son,2024,6,25,30.7,76,0,9.9
Ly Son,2024,6,26,30.1,82,0,10.6
Ly Son,2024,6,27,29.7,81,6.3,11.4
Ly Son,2024,6,28,29.6,82,0,11.5
Ly Son,2024,6,29,29.6,84,0,11.5
Ly Son,2024,6,30,29.8,85,0,11.4
Ly Son,2024,7,1,29.9,84,0,11.7
Ly Son,2024,7,2,29.6,87,0,11.7
Ly Son,2024,7,3,29.1,90,0,8.9
Ly Son,2024,7,4,28.8,88,0,8.4
Ly Son,2024,7,5,28.8,86,0,11.7
Ly Son,2024,7,6,29.2,86,0,11.8
Ly Son,2024,7,7,29,88,0,10.8
Ly Son,2024,7,8,29.2,87,0,11
